Inventory Number,Process Number,Section,Image Side,Material,Size,,Mounted,Negative,Conservation Status,Status,,,,,,,,,,,,,,,,,,,,,,,,,
8537,Unpublished,nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""A Wizard's Hoard""",3648,"P. Mich. inv. 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, and 603.",Pap,"Groups I and II were rolled up and very brittle, and were separated and flattened out by Mr. Lamacraft of the British Museum. Group III was found with several blank leaves of the same size and the braided cord with which they were originally bound into a codex.","The handwriting of the papyri in group I (P. Mich. inv. 594, 595, 596, 597, 598, 599, 603) is extremely rude and uneven, as though produced by some nearly illiterate person who seldomhad occasion to write. The pen which he used was stiff and inelastic, and fed the ink badly, as though not properly split. The ink was too thick. The writer blotted letters or words, either by accident or because they did not suit him; and in the latter case he often repeated words standing before the blot. The whole performance suggests a negligent paralytic or a very young child. The letters are drawn, not written with the swing of an ordinary writer. For similar hands, cf. P. Mich. inv. 3565, British Museum MS No. 1224 (Catalogue of the Coptic Manuscripts in the British Museum (1905), Plate XII); a third is published by Crum(Receuil d' Études dédiées a la mémoire de Jean François Champollion (1922), Plate VII).","The handwriting of group II (P. Mich. inv. 600, 601, and 602)  is not entirely unpracticed, though not a book-hand. It varies in size, according to the available space, and tends to sprawl.",unknown,unknown,"February 1921; Acquired by Sir Budge; Notes by Crum, 1921",Coptic,literary, magic,unknown,a collection of magical texts,"Internally, the collection falls in three parts:","A. a magical text, represented by 593, and duplicated by nos. 599, 594, 603, and 596, in the order named;","B. Another magical text, or series of texts, represented by nos. 600, 601, and 602, duplicated in part by nos. 597 and 598.","C. A third magical text, represented by no. 595, possibly a part of B, and resembling slightly in phraseology the Michigan papyrus no. 594a.",,TC,,,,,,,,,,,,,,,
7079,18257,obverse,Lead,1,"Unknown lead tablet. Was labeled as ""Unknown"". RTI imaging on 3/21/2013.",Unpublished,Ann Arbor,AH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey inv.  22188,16739,Recto-verso,Verso,WT,7 x 12.4 cm,1,No,No,Broken off. The wax is gone or damaged. Many incisions both on the wax side and the back wooden side,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I102C-A,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv.  22188,16739,Recto-verso,Recto,WT,7 x 12.4 cm,1,No,No,Broken off. The wax is gone or damaged. Many incisions both on the wax side and the back wooden side,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I102C-A,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv.  22189,16735,Recto-verso,Verso,WT,3.6 x 10 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I103E-WI,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv.  22189,16735,Recto-verso,Recto,WT,3.6 x 10 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I103E-WI,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv.  22190,16736,Recto-verso,Verso,WT,2 x 10.5 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I110-K,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv.  22190,16736,Recto-verso,Recto,WT,2 x 10.5 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",31-I110-K,Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,
Kelsey inv.  23394,16737,Recto-verso,Verso,WT,3.8 x13 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv.  23394,16737,Recto-verso,Recto,WT,3.8 x13 cm,1,No,No,Broken off. The wax is gone or damaged.,Unpublished,Ann Arbor,Ist-IIIrd century A.D.,"Karanis, Herakleidou meris, Arsinoite nome, province of Egypt","Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",Greek,Documentary,Unknown,NL,1,299,,,,,,,,,,,,,,,
Kelsey inv.  29971,16740,Recto-Verso,Verso,Wood,38.6 x 13 cm,1,recto: 9 lines, verso: 10 lines,No,No,Complete. 3 holes in the border.,Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Coptic,Documentary,Unknown,NL,500,799,,,,,,,,,,,,,
Kelsey inv.  29971,16740,Recto-Verso,Recto,Wood,38.6 x 13 cm,1,recto: 9 lines, verso: 10 lines,No,No,Complete. 3 holes in the border.,Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Coptic,Documentary,Unknown,NL,500,799,,,,,,,,,,,,,
Kelsey inv.  29973,16744,Recto-Verso,Verso,Wood,55.5 x 7.5 cm,1,recto: 6 lines, verso: c.10 lines,No,No,"Complete, except some points in the bottom and the top. Drawings of women and a painting.",Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Greek,Documentary,Unknown,NL,500,799,,,,,,,,,,,,,
Kelsey inv.  29973,16744,Recto-Verso,Recto,Wood,55.5 x 7.5 cm,1,recto: 6 lines, verso: c.10 lines,No,No,"Complete, except some points in the bottom and the top. Drawings of women and a painting.",Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Greek,Documentary,Unknown,NL,500,799,,,,,,,,,,,,,
Kelsey inv.  67.1.55,3526,Recto,Recto,Recto, Verso is blank,Paper,6.9 x 11.6 cm,1,1-8,No,"Obviously the paper was folded at least 6 times. A cut being in the end of the text could be restored. There are 3 spots are darker, which could be as a result of some oil or any other liquid was dropped on these parts. (MA)",published,Ann Arbor,"16 February, 929 A.D. to 13 March, 930 A.D.",Unknown,Unknown,Arabic,Documentray,Receipt for kharáj,"Receipt for kharáj paid by ibn Kanbás himself and on behalf of Biqtur ibn M®ná, the oil dealer, amount of 11 washed dr.",[       ] ibn (Kanbás) ,Biqtur ibn M®ná,Banudáh ibn R . . k. . ,,MA,929,930,,,,,,,,
Kelsey inv. . 29976,16742,Recto-Verso,Verso,Wood,56 x 7.5 cm,1,recto: 5 lines, verso: 4 lines,No,No,"Complete, except some points in the bottom.",Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Coptic,Documentary,Unknown,NL,500,799,,,,,,,,,,,,,
Kelsey inv. . 29976,16742,Recto-Verso,Recto,Wood,56 x 7.5 cm,1,recto: 5 lines, verso: 4 lines,No,No,"Complete, except some points in the bottom.",Unpublished,Ann Arbor,VIth-VIIIth century A.D.,Unknown,Unknown,Coptic,Documentary,Unknown,NL,500,799,,,,,,,,,,,,,
